Step;Tiempo;Temperatura
0;0.0;283.15
1;10526.315789473685;278.702567484298
2;21052.63157894737;276.1289860819702
3;31578.947368421053;274.28100067481313
4;42105.26315789474;272.3250641175026
5;52631.57894736843;270.9060672808192
6;63157.89473684211;269.83052164212654
7;73684.2105263158;268.928487219399
8;84210.52631578948;268.19170666403664
9;94736.84210526316;267.54375140411577
10;105263.15789473685;266.9513052085256
11;115789.47368421053;266.6280932347714
12;126315.78947368421;265.98837469909887
13;136842.1052631579;265.4750180848801
14;147368.4210526316;265.0719221562888
15;157894.73684210528;264.5151245826696
16;168421.05263157896;263.974799784314
17;178947.36842105264;263.40459381413945
18;189473.68421052632;262.7956025114966
19;200000.00000000003;262.5253040491994
