Step;Tiempo;Temperatura
0;0.0;293.15
1;10526.315789473685;278.5773859906267
2;21052.63157894737;268.57643368908606
3;31578.947368421053;260.77463353572153
4;42105.26315789474;254.4686022370816
5;52631.57894736843;250.78308951318004
6;63157.89473684211;249.03568554627475
7;73684.2105263158;248.0322609094178
8;84210.52631578948;247.4250508691777
9;94736.84210526316;247.07339159618977
10;105263.15789473685;246.88510854449737
11;115789.47368421053;248.46327949952155
12;126315.78947368421;248.6636797850071
13;136842.1052631579;248.23793902141404
14;147368.4210526316;248.33587321844385
15;157894.73684210528;248.04688226254365
16;168421.05263157896;247.64798010943633
17;178947.36842105264;247.31178314005376
18;189473.68421052632;247.09619689701606
19;200000.00000000003;249.05926815982133
