Step;Tiempo;Temperatura
0;0,0;283,15
1;14705,882352941177;278,20569071795757
2;29411,764705882353;274,07464004808816
3;44117,64705882353;270,5458313527753
4;58823,529411764706;268,4705930684357
5;73529,41176470589;266,73972016514165
6;88235,29411764706;265,23925712898864
7;102941,17647058824;263,85170943284515
8;117647,05882352941;262,5262203074985
9;132352,9411764706;261,1203437981028
10;147058,82352941178;259,6190621965895
11;161764,70588235295;258,0670982192659
12;176470,58823529413;256,516617320393
13;191176,4705882353;255,03099006883383
14;205882,35294117648;253,66893134903913
15;220588,23529411765;252,45291789921797
16;235294,11764705883;251,38755272469984
17;250000,0;250,4750364519146
