Step;Tiempo;Temperatura
0;0.0;283.15
1;14705.882352941177;277.71902914917564
2;29411.764705882353;275.0042897157283
3;44117.64705882353;272.36143600954256
4;58823.529411764706;270.96157958031444
5;73529.41176470589;269.5473780833045
6;88235.29411764706;268.436794534583
7;102941.17647058824;267.2373441058792
8;117647.05882352941;266.14218363359146
9;132352.9411764706;264.7177037053878
10;147058.82352941178;263.20633677063415
11;161764.70588235295;261.4216753923519
12;176470.58823529413;259.6495054210614
13;191176.4705882353;257.7942899187063
14;205882.35294117648;256.10339244570196
15;220588.23529411765;254.52714393394095
16;235294.11764705883;253.1397122674941
17;250000.0;251.94312724022825
