Step;Tiempo;Temperatura
0;0.0;283.15
1;10526.315789473685;279.5475603927863
2;21052.63157894737;276.7734203531317
3;31578.947368421053;274.57432119712666
4;42105.26315789474;272.59001129561193
5;52631.57894736843;271.2192786181246
6;63157.89473684211;270.2007496987024
7;73684.2105263158;269.3143267878285
8;84210.52631578948;268.5591407192872
9;94736.84210526316;267.91436692971143
10;105263.15789473685;267.2757444487323
11;115789.47368421053;266.79248855278286
12;126315.78947368421;266.21833578118253
13;136842.1052631579;265.68116024707354
14;147368.4210526316;265.20501882877556
15;157894.73684210528;264.6468195670562
16;168421.05263157896;264.06118330735313
17;178947.36842105264;263.4394157940755
18;189473.68421052632;262.7753521876629
19;200000.00000000003;262.3198714889299
