Step;Tiempo;Temperatura
0;0.0;283.15
1;10526.315789473685;278.6626077688947
2;21052.63157894737;276.0818430093398
3;31578.947368421053;274.01911652078223
4;42105.26315789474;271.97005325567324
5;52631.57894736843;270.6617949712838
6;63157.89473684211;269.72025121402885
7;73684.2105263158;268.85700237891984
8;84210.52631578948;268.11896304721836
9;94736.84210526316;267.5004669225592
10;105263.15789473685;266.87938110427785
11;115789.47368421053;266.5138956219488
12;126315.78947368421;265.8544978698591
13;136842.1052631579;265.3191144839007
14;147368.4210526316;264.89889410967123
15;157894.73684210528;264.3135154092997
16;168421.05263157896;263.7398145514423
17;178947.36842105264;263.1334889575464
18;189473.68421052632;262.4860210406174
19;200000.00000000003;262.1899701399383
