Step;Tiempo;Temperatura
0;0,0;283,15
1;15789,473684210527;279,9417661587673
2;31578,947368421053;277,07527155673836
3;47368,42105263158;274,71203882486486
4;63157,89473684211;273,0897865201698
5;78947,36842105264;271,8753097683816
6;94736,84210526316;270,8450708369083
7;110526,31578947368;269,97080432426435
8;126315,78947368421;269,14760550750765
9;142105,26315789475;268,3571354848068
10;157894,73684210528;267,5754624767128
11;173684,2105263158;266,80812334083544
12;189473,68421052632;266,07075086438243
13;205263,15789473685;265,3039068580097
14;221052,63157894736;264,4992868818573
15;236842,1052631579;263,6451065793892
16;252631,57894736843;262,7386240953009
17;268421,05263157893;261,78349096988455
18;284210,5263157895;260,7901673089065
19;300000,0;259,77465067603555
