X;Y;Z;Temperature;rho;cp
0,05890131331445529;0,002783924671928901;-0,0039181811314926976;-19,90656398;1095,287565347995;4,441162047402962
0,03269158593587829;-0,025653035081153495;-0,0244880925807403;-19,85126579;1095,32022740561;4,437132707136591
0,030194945645691813;-0,009503702207138892;0,026965153219166874;-19,84432412;1095,3243713494073;4,436618919560253
0,004466278696368427;-0,024553884454730713;0,01047417052630186;-19,79196436;1095,3559446871893;4,432687354948602
0,025019715995790753;0,013143458370702313;0,026239104721748837;-19,831468;1095,33207192335;4,435662735671478
0,04503419568741189;0,01826905389450813;-0,0016389795678778823;-19,87651626;1095,3052362533608;4,438986691956806
0,05405940876278997;-0,019744268489504113;-0,0059946178327891075;-19,89647622;1095,2934775375425;4,440435496610725
0,05641746227223557;-0,010148673994685345;0,014443996381123038;-19,90117591;1095,2907206022458;4,440774458831392
0,026979047285219496;-0,029565635130918914;0,015171703350600235;-19,8387954;1095,3276788262463;4,436208453037409
0,09784630196285145;0,004939019870663804;-0,003555310661433869;-19,99038597;1095,2392324315288;4,447048888382149
0,0030065356661400904;0,028113259129532865;-0,013400020569873704;-19,78752696;1095,3586462045055;4,432349658036525
0,02235065899305283;0,012082996922597521;0,024744078825815467;-19,82564471;1095,3355710356632;4,435227652085075
0,03249695120714227;-0,008972070880929675;0,02339625812067627;-19,84942322;1095,3213263989758;4,4369965015706185
0,034159433644886966;-0,011362415127874666;0,02367045107424929;-19,8531089;1095,319128771552;4,437268829364463
0,09018175739467153;0,031774310686436144;-0,023647464870209543;-19,97379919;1095,248684551905;4,445905558353857
0,05810411215861677;0,003604516581248664;-0,0016935783581038092;-19,90481468;1095,2885890971406;4,441036331835512
0,017841655655892276;-0,027970343920731756;-0,002928095338593839;-19,82007243;1095,338925792503;4,434810176204174
0,043884192462140106;-0,005113093734174412;0,005521794431983744;-19,87431097;1095,3065403720761;4,4388257100101
0,03572475941870354;0,03096306138497855;0,019159166572300827;-19,85555521;1095,3176716573685;4,437449307534294
