Step;Tiempo;Temperatura
0;0.0;283.15
1;8620.689655172413;280.06590360632174
2;17241.379310344826;278.5435631069834
3;25862.06896551724;277.2864431647911
4;34482.75862068965;276.27811436231224
5;43103.448275862065;275.3216968360321
6;51724.13793103448;274.53728419833726
7;60344.82758620689;274.0425095287825
8;68965.5172413793;273.25918224080533
9;77586.20689655171;272.6090177041138
10;86206.89655172413;272.42022504065477
11;94827.58620689655;271.6981433984355
12;103448.27586206896;271.20249726724876
13;112068.96551724136;270.73525297151537
14;120689.65517241378;270.2894458654804
15;129310.3448275862;269.88184368207374
16;137931.0344827586;269.4940969601556
17;146551.724137931;269.2802042045125
18;155172.41379310342;268.8999138671481
19;163793.10344827586;268.56981686747497
20;172413.79310344826;268.50999979974137
21;181034.48275862067;268.0928504805188
22;189655.1724137931;267.8058072225972
23;198275.8620689655;267.57012641909
24;206896.5517241379;267.35376024338484
25;215517.24137931032;267.1583602414993
26;224137.93103448272;266.9620959841932
27;232758.62068965516;266.84593475783805
28;241379.31034482757;266.63942169892414
29;249999.99999999997;266.4721647095802
