Step;Tiempo;Temperatura
0;0.0;293.15
1;10526.315789473685;277.361161037214
2;21052.63157894737;270.2877510927725
3;31578.947368421053;264.97955539507046
4;42105.26315789474;258.5120822141791
5;52631.57894736843;253.47507943898597
6;63157.89473684211;250.66886116711157
7;73684.2105263158;248.99297748188593
8;84210.52631578948;248.00950034224311
9;94736.84210526316;247.44323615846096
10;105263.15789473685;247.13035864609168
11;115789.47368421053;248.66355775811488
12;126315.78947368421;248.71558660333733
13;136842.1052631579;248.34615485879905
14;147368.4210526316;248.4820905552498
15;157894.73684210528;248.12362648146603
16;168421.05263157896;247.72910322622198
17;178947.36842105264;247.39278322317998
18;189473.68421052632;247.167358874373
19;200000.00000000003;249.16078658418456
