Step;Tiempo;Temperatura
0;0.0;293.15
1;10526.315789473685;278.40642518390683
2;21052.63157894737;270.58641548313307
3;31578.947368421053;265.08112302908637
4;42105.26315789474;258.57590670589684
5;52631.57894736843;253.52520904170757
6;63157.89473684211;250.68190981732278
7;73684.2105263158;249.0193780519033
8;84210.52631578948;248.02539084109878
9;94736.84210526316;247.4511227452449
10;105263.15789473685;247.1344712774353
11;115789.47368421053;248.55789091289762
12;126315.78947368421;248.77717129731835
13;136842.1052631579;248.38638439616506
14;147368.4210526316;248.44954594337634
15;157894.73684210528;248.14896758580016
16;168421.05263157896;247.74262461191893
17;178947.36842105264;247.3956471358029
18;189473.68421052632;247.16679226487224
19;200000.00000000003;249.0248812245722
