Step;Tiempo;Temperatura
0;0.0;293.15
1;10526.315789473685;277.4887523295117
2;21052.63157894737;268.26095371735124
3;31578.947368421053;260.5512233652832
4;42105.26315789474;254.36348816597862
5;52631.57894736843;250.71635768803085
6;63157.89473684211;249.01695814097747
7;73684.2105263158;248.00359879946956
8;84210.52631578948;247.4077872603597
9;94736.84210526316;247.06450567872267
10;105263.15789473685;246.88040028086778
11;115789.47368421053;248.5729125933272
12;126315.78947368421;248.60907673153082
13;136842.1052631579;248.19984762280993
14;147368.4210526316;248.36726391385812
15;157894.73684210528;248.02143302187793
16;168421.05263157896;247.63255748447338
17;178947.36842105264;247.3065468761602
18;189473.68421052632;247.09504488220927
19;200000.00000000003;249.1996019467591
