Step;Tiempo;Temperatura
0;0.0;283.15
1;14705.882352941177;276.46646516631927
2;29411.764705882353;274.20683629947575
3;44117.64705882353;271.65063242814983
4;58823.529411764706;270.4495871525109
5;73529.41176470589;269.0025296006394
6;88235.29411764706;268.04154087888776
7;102941.17647058824;266.7925847559362
8;117647.05882352941;265.7420790098723
9;132352.9411764706;264.24601754856735
10;147058.82352941178;262.79113710025587
11;161764.70588235295;260.96259685921405
12;176470.58823529413;259.25122444516603
13;191176.4705882353;257.3989408388117
14;205882.35294117648;255.76965059024337
15;220588.23529411765;254.22717357584224
16;235294.11764705883;252.8857815355861
17;250000.0;251.73122553729547
