Step;Tiempo;Temperatura
0;0.0;293.15
1;10526.315789473685;287.24730785233805
2;21052.63157894737;283.9466749561269
3;31578.947368421053;281.4229127881124
4;42105.26315789474;278.66430169952264
5;52631.57894736843;276.63329897614915
6;63157.89473684211;275.1043790029734
7;73684.2105263158;273.8705771451014
8;84210.52631578948;272.82836596788195
9;94736.84210526316;272.01263233193384
10;105263.15789473685;271.3111834201671
11;115789.47368421053;270.91236366264513
12;126315.78947368421;270.26016069220594
13;136842.1052631579;269.7615872278118
14;147368.4210526316;269.36799705737167
15;157894.73684210528;268.8771530597379
16;168421.05263157896;268.4153396764123
17;178947.36842105264;267.97838641002215
18;189473.68421052632;267.57329687069966
19;200000.00000000003;267.42172197525616
