Step;Tiempo;Temperatura
0;0.0;293.15
1;10526.315789473685;288.37496558005864
2;21052.63157894737;284.90113820425313
3;31578.947368421053;282.1383250883513
4;42105.26315789474;279.40535308778044
5;52631.57894736843;277.36294577215875
6;63157.89473684211;275.7409627495131
7;73684.2105263158;274.4753253314673
8;84210.52631578948;273.4094780868196
9;94736.84210526316;272.5424961734975
10;105263.15789473685;271.80482068527135
11;115789.47368421053;271.27553734946036
12;126315.78947368421;270.71012910729445
13;136842.1052631579;270.21358694814876
14;147368.4210526316;269.760364600843
15;157894.73684210528;269.295897432264
16;168421.05263157896;268.8275876305918
17;178947.36842105264;268.3840902554533
18;189473.68421052632;267.97152071724605
19;200000.00000000003;267.67787499482836
