Step;Tiempo;Temperatura
0;0.0;283.15
1;15789.473684210527;277.17833538704235
2;31578.947368421053;274.26790725937724
3;47368.42105263158;271.95021315295696
4;63157.89473684211;270.6633533619195
5;78947.36842105264;269.64585904239743
6;94736.84210526316;268.75918850903156
7;110526.31578947368;268.02326632665904
8;126315.78947368421;267.35668613180326
9;142105.26315789475;266.70232911304095
10;157894.73684210528;266.09048787246456
11;173684.2105263158;265.6057982122197
12;189473.68421052632;265.02572900509534
13;205263.15789473685;264.46624691973324
14;221052.63157894736;263.84954971340755
15;236842.1052631579;263.2038661568511
16;252631.57894736843;262.5201162167649
17;268421.05263157893;261.7948569956299
18;284210.5263157895;261.03118229462945
19;300000.0;260.23718524614844
