Step;Tiempo;Temperatura
0;0.0;283.15
1;10526.315789473685;279.59527155326464
2;21052.63157894737;276.8654610855378
3;31578.947368421053;274.84397674180144
4;42105.26315789474;272.9310724045931
5;52631.57894736843;271.4771242106104
6;63157.89473684211;270.34543019079814
7;73684.2105263158;269.4155320128277
8;84210.52631578948;268.6497069914829
9;94736.84210526316;267.9822115735962
10;105263.15789473685;267.37199686008705
11;115789.47368421053;266.92332720764995
12;126315.78947368421;266.3704116279169
13;136842.1052631579;265.85091962005623
14;147368.4210526316;265.3921282932271
15;157894.73684210528;264.86286061499976
16;168421.05263157896;264.3107475223773
17;178947.36842105264;263.72560469937343
18;189473.68421052632;263.10063367354223
19;200000.00000000003;262.66926731931704
