Step;Tiempo;Temperatura
0;0,0;299,15
1;7500,0;270,068272179863
2;15000,0;264,0400006790356
3;22500,0;260,30610076532236
4;30000,0;256,67720640205147
5;37500,0;254,8913989090687
6;45000,0;253,96703428577817
7;52500,0;253,57704838995724
8;60000,0;253,32634931580077
9;67500,0;253,2691548294805
10;75000,0;253,17940978511103
